mach,planform_area,angle_of_attack,lift,induced_drag,parasitic_drag,wave_drag,total_drag,lift_over_drag
0.6,1,-2.0,-0.083371346272,0.001007251493,0.009169545027868972,0,0.010176796520868971,-8.192297654869602
0.6,1,-1.0,-0.041697438927,0.00025196681,0.009169545027868972,0,0.009421511837868973,-4.425769414140166
0.6,1,0.0,0.0,0.0,0.009169545027868972,0,0.009169545027868972,0.0
0.6,1,1.0,0.041690835576,0.000251874253,0.009169545027868972,0,0.009421419280868972,4.42511200628306
0.6,1,2.0,0.083341904195,0.001007686266,0.009169545027868972,0,0.010177231293868973,8.189054742738069
0.6,1,3.0,0.124904704367,0.002264958705,0.009169545027868972,0,0.011434503732868972,10.923491502998601
0.6,1,4.0,0.166315050982,0.0040187553,0.009169545027868972,0,0.013188300327868972,12.610802517937046
0.6,1,5.0,0.207633723353,0.006269556632,0.009169545027868972,0,0.015439101659868972,13.448562482926365
0.6,1,6.0,0.248746231696,0.009005452869,0.009169545027868972,0,0.018174997896868973,13.686176642631237
0.6,1,7.0,0.289655754538,0.012221767916,0.009169545027868972,0,0.02139131294386897,13.54081235210105
0.6,1,8.0,0.329824212313,0.01586353922,0.009169545027868972,0,0.025033084247868972,13.17553238934501
0.6,1,9.0,0.370160495846,0.020004865862,0.009169545027868972,0,0.02917441088986897,12.687848170896263
0.6,1,10.0,0.410214361813,0.024600615467,0.009169545027868972,0,0.03377016049486897,12.1472434777243
0.6,1,11.0,0.449952781545,0.029640318347,0.009169545027868972,0,0.03880986337486897,11.593773912545219
0.6,1,12.0,0.488093705458,0.034926614238,0.009169545027868972,0,0.044096159265868975,11.068848479867297
0.6,1,13.0,0.522065268704,0.039994522185,0.009169545027868972,0,0.04916406721286897,10.618838072195674
0.6,1,14.0,0.551804739057,0.044717401341,0.009169545027868972,0,0.053886946368868975,10.24004469059659
0.6,1,15.0,0.577515204901,0.049036492241,0.009169545027868972,0,0.05820603726886897,9.921912433813446
0.6,1,16.0,0.599351930262,0.05289236683,0.009169545027868972,0,0.062061911857868975,9.657323023412575
0.6,1,17.0,0.617431368878,0.056200140192,0.009169545027868972,0,0.06536968521986897,9.445224752135308
0.6,1,18.0,0.631840142109,0.058901471331,0.009169545027868972,0,0.06807101635886897,9.28207298651091
0.6,1,19.0,0.643277997834,0.061084490285,0.009169545027868972,0,0.07025403531286897,9.156456208803222
0.6,1,20.0,0.652253415094,0.0628104694,0.009169545027868972,0,0.07198001442786897,9.061590502286185
0.7,1,-5.0,-0.213092415996,0.006573963822,0.008941114403045455,0.0,0.015515078225045454,-13.734537003623501
